Type;VSE;
0.95169848203659058;-0.95578926801681519
0.31734785437583923;0.31854054331779480
0.31576338410377502;-0.95464587211608887
-0.31838726997375488;0.95509600639343262
-0.31979319453239441;0.95356559753417969
0.95311015844345093;-0.95660430192947388
-0.31847482919692993;0.95572948455810547
-0.31881228089332581;-0.31692972779273987
0.31778103113174438;0.95556998252868652
0.31596183776855469;-0.31871902942657471
-0.95428067445755005;-0.31677868962287903
-0.95487242937088013;-0.31685942411422729
-0.95534139871597290;-0.95322948694229126
-0.31824076175689697;0.95451831817626953
-0.31822043657302856;-0.95281207561492920
0.31730824708938599;0.31636664271354675
0.31695625185966492;0.31658121943473816
0.31555485725402832;-0.31687489151954651
-0.31651842594146729;0.95410972833633423
-0.31963852047920227;-0.31978583335876465
-0.31808760762214661;-0.95363909006118774
0.31620123982429504;-0.31749963760375977
0.95274692773818970;0.95191830396652222
0.95507514476776123;0.95421731472015381
-0.95476007461547852;0.32050240039825439
0.95218080282211304;-0.95538794994354248
-0.31793251633644104;0.31797006726264954
-0.31699314713478088;0.95437508821487427
0.95299005508422852;-0.95324784517288208
-0.95308142900466919;-0.31678730249404907
-0.31839156150817871;0.31684687733650208
-0.31895202398300171;-0.95499932765960693
0.31666299700737000;0.31644466519355774
0.95388978719711304;0.95477843284606934
-0.95325934886932373;0.95536786317825317
0.32042634487152100;0.95250153541564941
-0.95570886135101318;-0.31635400652885437
0.31834846735000610;0.31767204403877258
0.31695473194122314;0.95422011613845825
-0.31904360651969910;-0.95509815216064453
0.95193785429000854;-0.95553421974182129
0.31957373023033142;-0.31959289312362671
0.31582981348037720;-0.95496010780334473
0.95492166280746460;0.31807774305343628
0.95273280143737793;0.31749740242958069
-0.95306009054183960;-0.31810203194618225
-0.95480310916900635;-0.31647333502769470
-0.95370399951934814;0.31812041997909546
-0.95308166742324829;0.95540189743041992
-0.31845220923423767;-0.95570766925811768
0.95303905010223389;0.31686088442802429
0.95368659496307373;-0.32061019539833069
-0.31860917806625366;-0.95613592863082886
-0.95278877019882202;0.95543169975280762
-0.31839898228645325;0.31943872570991516
0.95319002866744995;0.95170247554779053
-0.95389425754547119;-0.31651195883750916
0.31712409853935242;-0.31896540522575378
0.31664142012596130;0.95295619964599609
0.95183002948760986;-0.32054844498634338
-0.95187520980834961;-0.95256757736206055
-0.31893157958984375;-0.95482903718948364
-0.95217669010162354;-0.31888219714164734
-0.95414566993713379;0.31870433688163757
-0.31720915436744690;0.31909844279289246
0.95250165462493896;-0.95381826162338257
-0.95340293645858765;-0.31708759069442749
-0.31821537017822266;-0.31838759779930115
-0.95507627725601196;0.31962412595748901
-0.31814232468605042;-0.31914028525352478
0.95255678892135620;-0.95459514856338501
0.31764683127403259;-0.95474648475646973
0.31705763936042786;-0.31826713681221008
0.31727266311645508;0.31870248913764954
0.31699535250663757;-0.31878665089607239
-0.31517112255096436;-0.31983545422554016
-0.31540641188621521;-0.31722816824913025
-0.31677120923995972;-0.95318937301635742
-0.31730699539184570;-0.31587427854537964
-0.95301944017410278;-0.95336502790451050
-0.95386958122253418;-0.31650421023368835
-0.31564801931381226;-0.95339041948318481
-0.31895521283149719;0.31907567381858826
-0.95353603363037109;-0.95325088500976563
0.31683334708213806;-0.95312070846557617
0.95405220985412598;-0.31903693079948425
0.31863823533058167;0.95597970485687256
0.95303654670715332;-0.95394784212112427
-0.31599256396293640;-0.95139020681381226
-0.95254200696945190;-0.95246911048889160
-0.95230281352996826;-0.31386604905128479
0.31901046633720398;0.31763336062431335
0.31745210289955139;-0.95314151048660278
-0.31775063276290894;-0.95322853326797485
-0.95285975933074951;-0.95208513736724854
0.31933850049972534;-0.95408636331558228
0.95402401685714722;-0.31557717919349670
0.31707319617271423;-0.31575813889503479
0.95430690050125122;0.31852960586547852
0.95294123888015747;0.31734538078308105
-0.31626236438751221;0.95558267831802368
0.31708398461341858;-0.95215898752212524
-0.95179200172424316;0.95512342453002930
-0.95279240608215332;-0.95162516832351685
0.31698206067085266;0.31834587454795837
0.95528024435043335;-0.95374584197998047
-0.95116341114044189;0.95542043447494507
-0.95244801044464111;0.32106736302375793
0.31822910904884338;0.31931078433990479
-0.31778883934020996;-0.95164811611175537
-0.95179522037506104;0.32048061490058899
0.31875959038734436;-0.95201557874679565
-0.31876587867736816;-0.95206898450851440
-0.31940045952796936;-0.95347458124160767
-0.31747972965240479;-0.31643101572990417
0.31823426485061646;0.31795540452003479
0.31949749588966370;0.31900441646575928
-0.95218420028686523;-0.95220649242401123
0.95327270030975342;-0.95149612426757813
0.31740427017211914;-0.31865137815475464
0.95218580961227417;0.31905859708786011
0.31872388720512390;-0.95162367820739746
-0.95231473445892334;-0.31372550129890442
-0.31569340825080872;0.95315879583358765
